🇨🇳丨央视频道,#genre#
湖南电影,http://124.232.231.246:6610/000000001001/201600010005/index.m3u8?A=&IASHttpSessionId=OTT
湖南国际,http://124.232.231.246:6610/000000001001/201600020001/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
湖南娱乐,http://124.232.231.246:6610/000000001001/201600020004/index.m3u8?A=&IASHttpSessionId=OTT
湖南电视剧,http://124.232.231.246:6610/000000001001/201600020006/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
芒果乐搜,http://124.232.231.246:6610/000000001001/201600020010/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020010&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
金鹰纪实,http://124.232.231.246:6610/000000001001/201600020008/index.m3u8?A=&IASHttpSessionId=OTT
湖南公共,http://124.232.231.246:6610/000000001001/201600020007/index.m3u8?A=&IASHttpSessionId=OTT
湖南电视剧,http://124.232.233.17:6610/000000001001/201600020006/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
湖南电视剧,http://124.232.231.246:6610/000000001001/201600010006/index.m3u8?A=&IASHttpSessionId=OTT
金鹰纪实,http://124.232.231.246:6610/000000001001/201600010008/index.m3u8?A=&IASHttpSessionId=OTT
湖南国际,http://124.232.231.246:6610/000000001001/201600020001/index.m3u8?A=&IASHttpSessionId=OTT
安乡新闻,http://liveplay.rednet.cn/live/anxiang_tv_jhge13.m3u8
湖南经视,http://124.232.231.246:6610/000000001001/201600020002/index.m3u8?A=&IASHttpSessionId=OTT
芒果乐搜,http://124.232.231.246:6610/000000001001/201600020010/index.m3u8?A=&IASHttpSessionId=OTT
湖南公共,http://124.232.231.246:6610/000000001001/201600010007/index.m3u8?A=&IASHttpSessionId=OTT
湖南公共,http://124.232.233.17:6610/000000001001/201600020007/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
衡东综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_FuchqK.m3u8
衡阳新闻综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_ImycEv.m3u8
金鹰卡通,http://124.232.231.246:6610/000000001001/201600020009/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
湖南经视,http://124.232.231.246:6610/000000001001/201600010002/index.m3u8?A=&IASHttpSessionId=OTT
湖南经视,http://124.232.231.246:6610/000000001001/201600020002/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
屈原融媒体,http://play-dgv-xhncloud.voc.com.cn/live/5243_f2E1iT.m3u8
南岳综合,http://liveplay.rednet.cn/live/nanyue_03f74.m3u8
保靖时政,http://liveplay.rednet.cn/live/baojing_hgs24f.m3u8
云溪新闻综合,http://liveplay.rednet.cn/live/yunxi_tv.m3u8
益阳公共频道,http://fms.yyrtv.com:82/hls-live/livepkgr/_definst_/liveevent/yyrtvgg210130.m3u8
湘潭新闻综合,http://21084.liveplay.myqcloud.com/live/21084_13241b8296ee11e892905cb9018cf0d4.m3u8
资兴综合,http://liveplay.rednet.cn/live/zixin_tv_00676b.m3u8
醴陵综合,http://liveplay.rednet.cn/live/21084_145ba4ee9f0511e992905cb9018cf0d4.m3u8
益阳教育频道,http://fms.yyrtv.com:82/hls-live/livepkgr/_definst_/liveevent/yyrtvjy210130.m3u8
娄底综合,http://119.39.242.52:1935/live/zonghe/playlist.m3u8
衡阳新闻综合,http://hnhs.chinashadt.com:1936/hnhs/tv5.stream/playlist.m3u8
益阳新闻综合,http://fms.yyrtv.com:82/hls-live/livepkgr/_definst_/liveevent/yyrtvxwhd210130.m3u8
泸溪电视台,http://liveplay.rednet.cn/live/luxi_fe0eyf.m3u8
金鹰纪实,http://39.135.138.58:18890/ysten-businessmobile/live/SD-4000k-576P-jinyingjs/1.m3u8
娄底综合,http://mms.ldntv.cn:1935/live/zonghe/chunklist_w277614368.m3u8
郴州公共,http://139.186.37.10/hoge/hncztv-21.m3u8
湘潭新闻综合,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
芒果乐搜,http://124.232.231.246:6610/000000001001/201600020010/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
常德新闻,http://player.521fanli.cn/1691/hunan/changdem3u8.php?id=changdezh
岳阳公共,http://live.hnxttv.com:9601/live/dspd/800K/tzwj_video.m3u8?BVUUID=C236454D-5355-2F5F-FA96-1887C72E55CE&auth=654837809071524@615@2E9A5FD0B225B012E3178551CF3754A8
邵东综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_UxxQYt.m3u8
娄底综合,http://mms.ldntv.cn:1935/live/_definst_/zonghe/chunklist_w2136014950.m3u8
湖南国际,http://124.232.231.246:6610/000000001001/201600010001/index.m3u8?A=&IASHttpSessionId=OTT
衡阳电视台,http://play-dgv-xhncloud.voc.com.cn/live/5243_dJ9TLh.m3u8
湖南电影,http://124.232.231.246:6610/000000001001/201600020005/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
汨罗综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_TE4c1Q.m3u8
金鹰卡通,http://124.232.231.246:6610/000000001001/201600020009/index.m3u8?A=&IASHttpSessionId=OTT
湖南都市,http://124.232.233.15:6610/000000001001/201600020003/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
湖南都市,http://124.232.231.246:6610/000000001001/201600010003/index.m3u8?A=&IASHttpSessionId=OTT
湖南国际,http://124.232.233.17:6610/000000001001/201600020001/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
湖南都市,http://124.232.231.246:6610/000000001001/201600020003/index.m3u8?A=&IASHttpSessionId=OTT
湖南电影,http://124.232.233.17:6610/000000001001/201600020005/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
金鹰纪实,http://124.232.231.246:6610/000000001001/201600020008/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
湖南都市,http://124.232.233.17:6610/000000001001/201600020003/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
湖南电影,http://124.232.231.246:6610/000000001001/201600020005/index.m3u8?A=&IASHttpSessionId=OTT
湖南娱乐,http://124.232.231.246:6610/000000001001/201600020004/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
湖南娱乐,http://124.232.233.17:6610/000000001001/201600020004/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
湖南电影,http://124.232.233.15:6610/000000001001/201600020005/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
湖南都市,http://124.232.231.246:6610/000000001001/201600020003/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2
湖南电视剧,http://124.232.231.246:6610/000000001001/201600020006/index.m3u8?A=&IASHttpSessionId=OTT
汝城综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_j69HSm.m3u8
湖南经视,http://124.232.233.17:6610/000000001001/201600020002/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
金鹰纪实,http://124.232.233.17:6610/000000001001/201600020008/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
湖南娱乐,http://124.232.231.246:6610/000000001001/201600010004/index.m3u8?A=&IASHttpSessionId=OTT
芒果乐搜,http://124.232.233.17:6610/000000001001/201600020010/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
金鹰卡通,http://124.232.233.17:6610/000000001001/201600020009/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
洪江市时政,http://liveplay.rednet.cn/live/hongjiang_tv_ced5a7.m3u8
湖南电影,http://fms.yyrtv.com:82/hls-live/livepkgr/_definst_/liveevent/hndy210130.m3u8
永顺综合,http://liveplay.rednet.cn/live/yongshun_tv_55433f.m3u8
茶陵新闻综合,http://liveplay.rednet.cn/live/chaling_tv.m3u8
娄底综合,http://mms.ldntv.cn:1935/live/_definst_/zonghe/chunklist_w67585331.m3u8
湖南电影,http://111.40.196.30/PLTV/88888888/224/3221225660/index.m3u8
江华综合,http://liveplay.rednet.cn/live/jianghua_tv_bcdee8.m3u8
湘潭公共,http://live.hnxttv.com:9601/live/dspd/800K/tzwj_video.m3u8
溆浦时政,http://liveplay.rednet.cn/live/xupu_tv_fego93.m3u8
金鹰卡通,http://183.207.255.188/live/program/live/jykt/1300000/mnf.m3u8
娄底综合,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
娄底综合,http://mms.ldntv.cn:1935/live/_definst_/zonghe/playlist.m3u8
通道时政,http://live.tongdaotv.com:8087/live/tdtv.m3u8
麻阳时政,http://play-dgv-xhncloud.voc.com.cn/live/5243_BNm7K4.m3u8
张家界新闻,http://stream.zjjrtv.com/zjjtv1/hd/live.m3u8
张家界公共,http://stream.zjjrtv.com/zjjtv2/hd/live.m3u8
桑植新闻综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_NbaWW5.m3u8
娄底综合,http://119.39.242.52:1935/live/zonghe/chunklist_w1680005588.m3u8
宁乡综合,http://b.ds.ch.dingtoo.com/AppName/StreamName.m3u8
郴州新闻,http://139.186.37.10/hoge/hncztv-25.m3u8

【浙江】,#genre#
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
浙江好易购,http://hw-m-l.cztv.com/channels/lantian/channel11/720p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/720p.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
德清新闻综合,http://live.yingxi.tv/channel1/sd/live.m3u8
湖州新闻综合,http://live.plus.hugd.com/xwzhpd/playlist.m3u8
镇海综合频道,http://pluslive.zhxww.net/channel1/sd/live.m3u8
丽水青田综合,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
湖州新闻综合,http://live.plus.hugd.com/xwzhpd/sd/live.m3u8
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel04/360p.m3u8
湖州公共民生,http://live1.plus.hugd.com/ggpd1/sd/live.m3u8
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
浙江留学世界,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
永康新闻综合,http://hlsv2.quklive.com/live/1625061424267104/index.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
湖州文化娱乐,http://live.plus.hugd.com/whylpd/playlist.m3u8
江山电视台,http://play-sh.quklive.com/live/1623117710666335.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
北仑电视台,http://play-sh.quklive.com/live/1626327731714170.m3u8
浙江绍兴公共台,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
金华新闻综合,http://live.plus.jinhua.com.cn/xwzh/app/live.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
丽水缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
镇海先锋影视,http://pluslive.zhxww.net/channel2/sd/live.m3u8
嘉兴平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8
杭州青少体育,http://112.17.40.247/PLTV/88888888/224/3221229316/index.m3u8
温州永嘉综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
嘉兴平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8
杭州青少体育,http://hms363nc1880172761.live.aikan.miguvideo.com/wh7f454c46tw2880854862_-704780469/PLTV/88888888/224/3221229316/index.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/720p.m3u8
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel02/360p.m3u8
嘉兴海盐综合,http://haiyan.liveyun.hoge.cn/xwpd/sd/live.m3u8
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
温州文成二套,http://l.cztvcloud.com/channels/lantian/SXwencheng2/720p.m3u8
嘉兴-海宁综合,http://live.hndachao.cn/xwzh/sd/live.m3u8
温州洞头综合,http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8
舟山嵊泗综合,http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
杭州综合,http://hms363nc1880172761.live.aikan.miguvideo.com/wh7f454c46tw2809529842_-2070680032/PLTV/88888888/224/3221229307/index.m3u8
丽水龙泉综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
宁波鄞州二套,http://pili-publish.yzxw.newaircloud.com/newaircloud-yzxw/yzxw_20190925090936.m3u8
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
衢州开化综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
杭州生活,http://hms363nc1880172761.live.aikan.miguvideo.com/wh7f454c46tw2848313566_-100055911/PLTV/88888888/224/3221229313/index.m3u8
杭州影视娱乐,http://112.17.40.247/PLTV/88888888/224/3221229377/index.m3u8
浙江留学世界,http://hw-m-l.cztv.com/channels/lantian/channel09/720p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel06/360p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/360p.m3u8
浙江影视娱乐,http://hw-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
舟山群岛旅游,http://live1.plus.wifizs.cn/qdly/sd/live.m3u8
建德综合频道,http://livejdrmt.chinamcache.com/live/jdzb02.m3u8
金华新闻综合,http://live.plus.jinhua.com.cn/xwzh/playlist.m3u8
嘉兴-海宁生活,http://live.hndachao.cn/shfw/sd/live.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel17/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
金华都市农村,http://live2.plus.jinhua.com.cn/dsnc/playlist.m3u8
浙江留学世界,http://hw-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江好易购,http://hw-m-l.cztv.com/channels/lantian/channel11/1080p.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
浙江影视娱乐,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
衢州龙游综合,https://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
常山新闻综合,https://hlsv2.quklive.com/live/1621306190044902/index.m3u8
浙江绍兴影视台,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
湖州文化娱乐,http://live.plus.hugd.com/whylpd/sd/live.m3u8
杭州萧山综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/360p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
温州苍南综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
磐安新闻综合,http://hlsv2.quklive.com/live/1626400915947070/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
磐安文化生活,http://hlsv2.quklive.com/live/1626401163709056/index.m3u8
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江经济生活,http://ls.qingting.fm/live/1099.m3u8
衢州衢江综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
天台和合频道,http://hlsv2.quklive.com/live/1617072208961931/index.m3u8
浙江休闲台,http://hw-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
杭州余杭综合,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
丽水庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
湖州公共民生,http://live1.plus.hugd.com/ggpd1/playlist.m3u8
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
宁波余姚生活,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
丽水松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
衢州开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
杭州临平新闻,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/720p.m3u8
衢州龙游生活,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
杭州生活,http://112.17.40.247/PLTV/88888888/224/3221229313/index.m3u8
永康华溪频道,http://hlsv2.quklive.com/live/1625062755227231/index.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/360p.m3u8
宁波象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/360p.m3u8
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
金华东阳综合,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
丽水-遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
杭州综合,http://112.17.40.247/PLTV/88888888/224/3221229307/index.m3u8
杭州明珠,http://hms363nc1880172761.live.aikan.miguvideo.com/wh7f454c46tw2832762804_-1734620123/PLTV/88888888/224/3221229310/index.m3u8
丽水云和综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
浙江教育科技,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
杭州明珠,http://112.17.40.247/PLTV/88888888/224/3221229310/index.m3u8
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel04/720p.m3u8
温州泰顺综合,http://taishun.news01.yunshanit.com/720p/StreamName.m3u8
德清文化生活,http://live.yingxi.tv/channel2/sd/live.m3u8
新昌新闻綜合,http://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
嵊州新闻综合,https://hlsv2.quklive.com/live/1626935015913208/index.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
温州文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
湖州长兴综合,http://l.cztvcloud.com/channels/lantian/SXchangxing1/720p.m3u8
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
萧山生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel02/720p.m3u8
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/720p.m3u8
杭州影视娱乐,http://hms363nc1880172761.live.aikan.miguvideo.com/wh7f454c46tw2866990275_-1477869556/PLTV/88888888/224/3221229377/index.m3u8
杭州余杭未来,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
宁波鄞州一套,http://pili-publish.yzxw.newaircloud.com/newaircloud-yzxw/yzxw_20190925090843.m3u8
金华教育科技,http://live.plus.jinhua.com.cn/jykj/playlist.m3u8
衢州龙游综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
金华公共频道,http://live.plus.jinhua.com.cn/jjsh/playlist.m3u8
嘉兴桐乡综合,http://live.txcmapp.com/tszh1/sd/live.m3u8
舟山新闻综合,http://live1.plus.wifizs.cn/xwzh/sd/live.m3u8
中国蓝TV,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
衢州龙游生活,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
嘉兴新闻综合,http://pluslive.jiaxingren.com/xwzh/sd/live.m3u8
淳安电视台,https://wtmtyoutlive.watonemt.com/f2p7vq/lf76v9.m3u8
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
舟山公共生活,http://live1.plus.wifizs.cn/ggsh/sd/live.m3u8
淳安电视台,https://wtmtylive.yunshicloud.com/tbziu1/ad592j.m3u8
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8

【江苏】,#genre#
东台综合频道,http://dongtai-tv-hls.cm.jstv.com/dongtai-tv/dongtaizonghe.m3u8
无锡娱乐,http://m.m3u8.wifiwx.com/live/wifiwx-243.m3u8
无锡新闻综合,http://m.m3u8.wifiwx.com:80/live/wifiwx-239.m3u8
苏州社会经济,https://liveshowbak2.kan0512.com/norecord/ncsztv2_sd/playlist.m3u8
南通都市生活,http://cm.wshls.homecdn.com/live/7cc7.flv
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8
睢宁资讯频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningys.m3u8
溧水新闻综合,http://live.lsrmw.cn/zhpd/sd/live.m3u8
苏州影视娱乐,https://liveshowbak2.kan0512.com/norecord/ncsztv4_sd/playlist.m3u8
铜山综合频道,http://stream.tstvxmt.com/tstv1/sd/live.m3u8
六合新闻综合,https://p6.vzan.com/720020/626981218629939023/live.m3u8
徐州公共频道,http://stream1.huaihai.tv/ggpd/sd/live.m3u8
徐州文艺影视,http://stream1.huaihai.tv/wyys/sd/live.m3u8
无锡新闻综合,http://m.m3u8.wifiwx.com/live/wifiwx-239.m3u8
苏州文化生活,http://liveshowbak2.kan0512.com/norecord/ncsztv3_sd/playlist.m3u8
苏州新闻综合,http://liveshowbak2.kan0512.com/norecord/ncsztv1_sd/playlist.m3u8
无锡都市资讯,http://m.m3u8.wifiwx.com/live/wifiwx-240.m3u8
溧水影视娱乐,http://live.lsrmw.cn/ysyl/sd/live.m3u8
睢宁生活教育,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsh.m3u8
苏州社会经济,http://liveshowbak2.kan0512.com/norecord/ncsztv2_sd/playlist.m3u8
盐城新闻综合,http://stream.0515yc.cn/yctv1/playlist.m3u8
盐都综合频道,http://yandu-tv-hls.cm.jstv.com/yandu-tv/yanduzh.m3u8
张家港新闻综合,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
徐州公共频道,http://stream1.huaihai.tv/ggpd/playlist.m3u8
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8
江苏影视,http://183.207.248.13:80/PLTV/4/224/3221225937/index.m3u8
南通崇川综合,http://cm.wshls.homecdn.com/live/7cc1.flv
张家港民生,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/chunklist_w37722388.m3u8
徐州经济生活,http://hms363nc1880172761.live.aikan.miguvideo.com/wh7f454c46tw2832762804_-1734620123/PLTV/88888888/224/3221229310/index.m3u8
江苏教育,http://183.207.248.13:80/PLTV/4/224/3221225923/index.m3u8
张家港综合,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
无锡都市资讯,http://stream.thmz.com/wxtv3/sd/live.m3u8
铜山三农频道,http://stream.tstvxmt.com/ts3/sd/live.m3u8
无锡生活,http://stream.thmz.com/wxtv4/sd/live.m3u8
连云港综合,http://live.lyg1.com/zhpd/sd/live.m3u8
盐城城市公共,http://stream.0515yc.cn/yctv3/playlist.m3u8
津南一套,http://play.jinnantv.top/live/JNTV1.m3u8
徐州文艺影视,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8
张家港新闻综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
苏州4k频道,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
江苏城市,http://183.207.248.13:80/PLTV/4/224/3221225929/index.m3u8
连云港公共,http://live.lyg1.com/ggpd/sd/live.m3u8
仪征新闻综合,http://yizheng-tv-hls.cm.jstv.com/yizheng-tv/yzxwzh.m3u8
扬中党建民生,http://yangzhong-tv-hls.cm.jstv.com/yangzhong-tv/yzdj.m3u8
泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8
如东新闻综合,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
涟水综合频道,http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8
贾汪新闻频道,http://jiawang-tv-hls.cm.jstv.com/jiawang-tv/jwxw.m3u8
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
淮阴影院频道,http://huaiyin-tv-hls.cm.jstv.com/huaiyin-tv/hyys.m3u8
泗洪新闻综合,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8
宜兴新闻频道,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8
高邮综合频道,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8
